t,acc
12.23 , -0.25
12.24 , -0.37
12.25 , -0.44
12.26 , -0.41
12.27 , -0.32
12.280000000000001 , -0.2
12.290000000000001 , -0.18
12.3 , -0.25
12.31 , -0.38
12.32 , -0.53
12.33 , -0.65
12.34 , -0.7
12.35 , -0.67
12.36 , -0.57
12.370000000000001 , -0.43
12.38 , -0.3
12.39 , -0.19
12.4 , -0.11
12.41 , -0.042
12.42 , 0.058
12.43 , 0.17
12.44 , 0.29
12.450000000000001 , 0.33
12.46 , 0.26
12.47 , 0.043
12.48 , -0.26
12.49 , -0.6
12.5 , -0.88
12.51 , -1.0
12.52 , -1.1
12.530000000000001 , -0.98
12.540000000000001 , -0.85
12.55 , -0.77
12.56 , -0.74
12.57 , -0.73
12.58 , -0.68
12.59 , -0.49
12.6 , -0.19
12.61 , 0.17
12.620000000000001 , 0.49
12.63 , 0.66
12.64 , 0.66
12.65 , 0.54
12.66 , 0.36
12.67 , 0.22
12.68 , 0.11
12.69 , 0.026
12.700000000000001 , -0.084
12.71 , -0.24
12.72 , -0.42
12.73 , -0.56
12.74 , -0.59
12.75 , -0.5
12.76 , -0.32
12.77 , -0.13
12.780000000000001 , 0.066
12.790000000000001 , 0.22
12.8 , 0.39
12.81 , 0.59
12.82 , 0.8
12.83 , 1.1
12.84 , 1.3
12.85 , 1.4
12.86 , 1.5
12.870000000000001 , 1.5
12.88 , 1.4
12.89 , 1.2
12.9 , 0.95
12.91 , 0.69
12.92 , 0.53
12.93 , 0.5
12.94 , 0.6
12.950000000000001 , 0.8
12.96 , 0.99
12.97 , 1.1
12.98 , 1.1
12.99 , 0.97
13.0 , 0.68
13.01 , 0.29
13.02 , -0.11
13.030000000000001 , -0.43
13.040000000000001 , -0.6
13.05 , -0.57
13.06 , -0.38
13.07 , -0.14
13.08 , 0.015
